task,dataset,searcher,budget,B,val_loss,test_loss,gen_gap,winner_stability,eps_coverage,selection_entropy,mean_winner_dist,seed,run_id,elapsed,original_winner
svm_rbf,wine,successive_halving,20,80,0.023255813953488413,0.0,-0.023255813953488413,0.0375,0.925,0.9353342134008277,0.22805103236036764,123,svm_rbf__wine__successive_halving__b20__s123,2.0,"{'C': 28.10621171965821, 'gamma': 0.14115654600216723}"
svm_rbf,breast_cancer,random_search,40,100,0.0,0.03508771929824561,0.03508771929824561,0.19,0.16,0.9350468142400494,0.18696561523898061,123,svm_rbf__breast_cancer__random_search__b40__s123,21.0,"{'C': 474.98569036023895, 'gamma': 0.015018632860307682}"
svm_rbf,breast_cancer,random_search,20,100,0.029197080291970767,0.03508771929824561,0.005890639006274845,0.26,0.99,0.9223302730046374,0.14272305369209415,42,svm_rbf__breast_cancer__random_search__b20__s42,10.5,"{'C': 44.02874346669272, 'gamma': 0.015645599135697307}"
svm_rbf,breast_cancer,successive_halving,40,100,0.007299270072992692,0.052631578947368474,0.04533230887437578,0.27,0.44,0.9093684110823779,0.1501112919580452,123,svm_rbf__breast_cancer__successive_halving__b40__s123,18.5,"{'C': 62.33769958822177, 'gamma': 0.03897850556528281}"
mlp,breast_cancer,random_search,20,50,0.0,0.02631578947368418,0.02631578947368418,0.02,0.28,0.9350354807106194,0.3478537101224323,123,mlp__breast_cancer__random_search__b20__s123,124.3,
svm_rbf,wine,bayesian_opt,20,80,0.0,0.0,0.0,0.1375,0.8375,0.9656406085418907,0.2115320241032495,123,svm_rbf__wine__bayesian_opt__b20__s123,4.5,"{'C': 14.469495392172318, 'gamma': 0.0007100015685048694}"
svm_rbf,digits,random_search,20,80,0.01620370370370372,0.022222222222222254,0.006018518518518534,0.3125,0.875,0.926349914618973,0.16089215944689186,123,svm_rbf__digits__random_search__b20__s123,100.9,"{'C': 346.7927328813697, 'gamma': 0.0024147489671773473}"
svm_rbf,breast_cancer,random_search,20,100,0.007299270072992692,0.052631578947368474,0.04533230887437578,0.21,0.37,0.9607760299490627,0.16705215408439003,123,svm_rbf__breast_cancer__random_search__b20__s123,10.4,"{'C': 62.33769958822177, 'gamma': 0.03897850556528281}"
svm_rbf,wine,successive_halving,40,80,0.0,0.0,0.0,0.1,0.7875,0.974547207506223,0.2328111202883391,999,svm_rbf__wine__successive_halving__b40__s999,6.1,"{'C': 47.09232206276549, 'gamma': 0.0007265126056902575}"
svm_rbf,breast_cancer,successive_halving,20,100,0.029197080291970767,0.03508771929824561,0.005890639006274845,0.24,0.94,0.9492707620198237,0.15988077866054196,42,svm_rbf__breast_cancer__successive_halving__b20__s42,6.2,"{'C': 44.02874346669272, 'gamma': 0.015645599135697307}"
svm_rbf,breast_cancer,random_search,40,100,0.021897810218978075,0.03508771929824561,0.013189909079267537,0.2,0.95,0.9783048958944852,0.2019647572824813,42,svm_rbf__breast_cancer__random_search__b40__s42,20.7,"{'C': 6.431465139967162, 'gamma': 0.05859991732374347}"
svm_rbf,digits,random_search,20,80,0.01620370370370372,0.022222222222222254,0.006018518518518534,0.325,0.9375,0.8898272374382888,0.1343287291405007,42,svm_rbf__digits__random_search__b20__s42,97.9,"{'C': 44.02874346669272, 'gamma': 0.015645599135697307}"
